Graph 1 X	Graph 1 Y	Graph 2 X	Graph 2 Y	
130.6098	-13.7852	130.6098	-13.7852	
130.9756	-13.7136	130.9756	-13.7136	
131.3415	-13.6444	131.3415	-13.6444	
131.7073	-13.6078	131.7073	-13.6078	
132.0732	-13.6006	132.0732	-13.6006	
132.4390	-13.6086	132.4390	-13.6086	
132.8049	-13.6177	132.8049	-13.6177	
133.1707	-13.6138	133.1707	-13.6138	
133.5366	-13.5827	133.5366	-13.5827	
133.9025	-13.5185	133.9025	-13.5185	
134.2683	-13.4444	134.2683	-13.4444	
134.6342	-13.3728	134.6342	-13.3728	
135.0000	-13.3062	135.0000	-13.3062	
135.3659	-13.2741	135.3659	-13.2741	
135.7317	-13.2444	135.7317	-13.2444	
136.0976	-13.2173	136.0976	-13.2173	
136.4634	-13.2018	136.4634	-13.2018	
136.8293	-13.1968	136.8293	-13.1968	
137.1951	-13.1983	137.1951	-13.1983	
137.5610	-13.2024	137.5610	-13.2024	
137.9268	-13.2054	137.9268	-13.2054	
138.2927	-13.2034	138.2927	-13.2034	
138.6586	-13.1926	138.6586	-13.1926	
139.0244	-13.1728	139.0244	-13.1728	
139.3903	-13.1580	139.3903	-13.1580	
139.7561	-13.1555	139.7561	-13.1555	
140.1220	-13.1555	140.1220	-13.1555	
140.4878	-13.1555	140.4878	-13.1555	
140.8537	-13.1555	140.8537	-13.1555	
141.2195	-13.1555	141.2195	-13.1555	
141.5854	-13.1555	141.5854	-13.1555	
141.9512	-13.1555	141.9512	-13.1555	
142.3171	-13.1555	142.3171	-13.1555	
142.6829	-13.1555	142.6829	-13.1555	
143.0488	-13.1555	143.0488	-13.1555	
143.4147	-13.1555	143.4147	-13.1555	
143.7805	-13.1555	143.7805	-13.1555	
144.1464	-13.1555	144.1464	-13.1555	
144.5122	-13.1555	144.5122	-13.1555	
144.8781	-13.1555	144.8781	-13.1555	
145.2439	-13.1555	145.2439	-13.1555	
145.6098	-13.1555	145.6098	-13.1555	
145.9756	-13.1550	145.9756	-13.1550	
146.3415	-13.1539	146.3415	-13.1539	
146.7073	-13.1526	146.7073	-13.1526	
147.0732	-13.1514	147.0732	-13.1514	
147.4390	-13.1505	147.4390	-13.1505	
147.8049	-13.1501	147.8049	-13.1501	
148.1707	-13.1507	148.1707	-13.1507	
148.5366	-13.1524	148.5366	-13.1524	
148.9025	-13.1555	148.9025	-13.1555	
149.2683	-13.1555	149.2683	-13.1555	
149.6342	-13.1383	149.6342	-13.1383	
150.0000	-13.1185	150.0000	-13.1185	
150.3659	-13.0988	150.3659	-13.0988	
150.7317	-13.0765	150.7317	-13.0765	
151.0976	-13.0625	151.0976	-13.0625	
151.4634	-13.0575	151.4634	-13.0575	
151.8293	-13.0590	151.8293	-13.0590	
152.1951	-13.0641	152.1951	-13.0641	
152.5610	-13.0703	152.5610	-13.0703	
152.9268	-13.0749	152.9268	-13.0749	
153.2927	-13.0751	153.2927	-13.0751	
153.6586	-13.0683	153.6586	-13.0683	
154.0244	-13.0518	154.0244	-13.0518	
154.3903	-13.0247	154.3903	-13.0247	
154.7561	-12.9926	154.7561	-12.9926	
155.1220	-12.9605	155.1220	-12.9605	
155.4878	-12.9284	155.4878	-12.9284	
155.8537	-12.9136	155.8537	-12.9136	
156.2195	-12.9078	156.2195	-12.9078	
156.5854	-12.9065	156.5854	-12.9065	
156.9512	-12.9079	156.9512	-12.9079	
157.3171	-12.9106	157.3171	-12.9106	
157.6829	-12.9128	157.6829	-12.9128	
158.0488	-12.9131	158.0488	-12.9131	
158.4147	-12.9097	158.4147	-12.9097	
158.7805	-12.9012	158.7805	-12.9012	
159.1464	-12.8889	159.1464	-12.8889	
159.5122	-12.8790	159.5122	-12.8790	
